cycle,party,actual_share,model_q05,model_q50,model_q95,poll_avg,last_election,actual_seats,seats_q05,seats_q50,seats_q95,seats_poll_avg,seats_last_election
e2019apr,PP,16.692458574018897,19.187388402613045,20.69215245864955,22.303995503955214,20.55,33.014537647032654,66,70.0,82.0,94.0,79,137
e2019apr,PSOE,28.67461401161031,26.14155221711646,28.808587746651632,31.82892078860966,27.958333333333336,22.632000700098594,123,106.0,123.0,140.0,117,85
e2019apr,UP,14.31659816579827,11.184513508736654,12.408137140299123,13.674204310365385,12.666666666666668,21.15070183428741,42,27.0,33.0,39.0,34,71
e2019apr,CS,15.86048684246332,14.042728832223803,16.04486967800349,18.345171856053536,16.2375,13.06062192784453,57,42.0,54.0,65.0,57,32
e2019apr,VOX,10.259356275669697,5.766220658615491,10.491436391684179,17.792059169890145,11.054166666666667,0.0,24,5.0,28.0,59.0,34,0
e2019apr,ERC,3.8944221659240656,2.8841648084319473,3.040578110646248,3.2054287222383646,3.026315789473684,2.628421217394124,15,12.0,13.0,15.0,14,9
e2019apr,JUNTS,1.9113007483463365,1.2871686289071784,1.4455893698770692,1.6080342054652998,1.4125,2.01003128201813,7,4.0,5.0,7.0,5,8
e2019apr,PNV,1.5109285693485277,1.1581779636095424,1.216059280804052,1.308788537645344,1.236842105263158,1.1932191044599896,6,6.0,6.0,7.0,6,5
e2019apr,BILDU,0.9909672283942699,0.7356776072549839,0.7941986834937202,0.8533515179980701,0.8105263157894737,0.7679175247274282,4,2.0,3.0,4.0,3,2
e2019apr,CC,0.5254076208454894,0.2588946531128253,0.294243273495446,0.32900267477687356,0.3,0.32532550531091714,2,0.0,1.0,1.0,1,1
