cycle,party,actual_share,model_q05,model_q50,model_q95,poll_avg,last_election,actual_seats,seats_q05,seats_q50,seats_q95,seats_poll_avg,seats_last_election
e2019nov,PP,20.805476805643018,19.104437059672136,21.033723256533005,23.260162625095706,20.962857142857143,16.692458574018897,89,85.0,97.0,108.0,96,66
e2019nov,PSOE,27.999567816742427,24.182346772959583,27.694310350484418,31.54874973300748,28.437142857142856,28.67461401161031,120,105.0,124.0,140.0,125,123
e2019nov,UP,12.858993657739552,10.595219693962585,12.5713683655013,14.739671763881212,12.925714285714285,14.31659816579827,35,26.0,35.0,44.0,35,41
e2019nov,CS,6.803126757651054,7.661926532502688,10.18122030477296,13.083792702718473,11.542857142857144,15.86048684246332,10,13.0,24.0,44.0,33,57
e2019nov,VOX,15.075210769723164,7.887009931320911,9.754107433459167,12.303857686883672,9.294285714285715,10.259356275669697,52,15.0,25.0,39.0,19,24
e2019nov,MASPAIS,1.3617853703081693,2.6468700702092116,4.489799093142355,7.302892338099008,5.095454545454546,0.0,2,1.0,3.0,13.0,4,0
e2019nov,ERC,3.6064423172211915,3.4782871725361457,3.8327406732656977,4.108098789510185,3.884000000000001,3.8944221659240656,13,13.0,15.0,17.0,14,15
e2019nov,JUNTS,2.1857532215461077,1.4766903680660466,1.7446419785655864,1.9383713070545188,1.752,1.9113007483463365,8,5.0,7.0,8.0,7,7
e2019nov,PNV,1.5623647366163762,1.3425895468317788,1.4979338425265103,1.6702736491507042,1.528,1.5109285693485277,6,6.0,6.0,8.0,6,6
e2019nov,BILDU,1.1444405584777255,0.8513490911635613,0.9836332212830525,1.1055532049888714,1.0100000000000002,0.9909672283942699,5,2.0,4.0,5.0,4,4
e2019nov,CC,0.5123581161822702,0.38369250902600793,0.4900747364650509,0.5880473310758799,0.5055555555555555,0.5254076208454894,2,1.0,2.0,2.0,2,2
