date,party,mean,q05,q25,q50,q75,q95,cutoff_date
2023-07-23,PP,0.32899067048368597,0.3199216366767129,0.3253563140740482,0.3290428216856577,0.3326504600229279,0.33802195028548127,2026-09-18
2023-07-24,PP,0.3290422441346247,0.32036404395498547,0.3254862579161088,0.3291121720547898,0.3325567553070749,0.3377991727092945,2026-09-18
2023-07-25,PP,0.3290938177855635,0.3207329906817399,0.32562483637763906,0.3291748157257031,0.33250574340245836,0.33765014297778934,2026-09-18
2023-07-26,PP,0.32914539143650223,0.3210197522107684,0.32572292098146866,0.32916235631426305,0.3324568617504555,0.33758565300784593,2026-09-18
2023-07-27,PP,0.32919696508744095,0.32114694312662095,0.3258411493508276,0.3292379681828793,0.3325382176368107,0.3374661500745815,2026-09-18
2023-07-28,PP,0.32924853873837967,0.32127679773637297,0.3259462552987897,0.3293156268711491,0.3325778604866413,0.33744290973849056,2026-09-18
2023-07-29,PP,0.3293001123893185,0.3211974578880295,0.3259615182306764,0.3293414630633764,0.33262558228269695,0.33746728053062314,2026-09-18
2023-07-30,PP,0.3293516860402572,0.321014214569709,0.32600874632312227,0.32937235199209813,0.3326827218687438,0.337608817137252,2026-09-18
2023-07-31,PP,0.3294590385008822,0.32154900520670526,0.3262093048338907,0.32951634808409014,0.3326561728463091,0.33739887273367136,2026-09-18
2023-08-01,PP,0.32956639096150725,0.3218620984744547,0.3264180034943577,0.32955010727581513,0.3326420705198335,0.33717660644101094,2026-09-18
2023-08-02,PP,0.3296737434221323,0.3220973892369763,0.3266192469266891,0.32972923892303996,0.3327301749439337,0.3371242304558804,2026-09-18
2023-08-03,PP,0.3297810958827573,0.32227923080635246,0.32681292034292125,0.3298218313140535,0.33282845973845543,0.33708593311121215,2026-09-18
2023-08-04,PP,0.3298884483433823,0.3223767099605239,0.326891591907932,0.3298595091778697,0.33296961994811924,0.33716312711263513,2026-09-18
2023-08-05,PP,0.3299958008040073,0.3225375024120501,0.3269545810729868,0.3299535303647643,0.3330870943264049,0.337405367340204,2026-09-18
2023-08-06,PP,0.33010315326463235,0.32247514312449294,0.32697889722093176,0.33006458491095547,0.33331522365843935,0.33768245838214267,2026-09-18
2023-08-07,PP,0.33027990243994426,0.3229910630800953,0.32724089268074474,0.3302629526639435,0.33339764101804137,0.33754427602558806,2026-09-18
2023-08-08,PP,0.33045665161525606,0.32336710577237504,0.3274585266270538,0.3304393435255645,0.33345816745364487,0.33741903705360654,2026-09-18
2023-08-09,PP,0.33063340079056797,0.32368826152286,0.32768583952084346,0.3306165046486431,0.33355967606475917,0.3374908174593493,2026-09-18
2023-08-10,PP,0.3308101499658799,0.32391724259273047,0.32788135951855957,0.3308510044155998,0.3336973911171597,0.33771599179490647,2026-09-18
2023-08-11,PP,0.3309868991411918,0.3239543649808922,0.3280722573498732,0.33102637807660823,0.333851846599462,0.33790393998701834,2026-09-18
2023-08-12,PP,0.3311636483165037,0.32397451684902595,0.3281931978768039,0.33119297714550777,0.33413629323525784,0.3382411135139561,2026-09-18
2023-08-13,PP,0.3313403974918155,0.3238754753474413,0.3282753624660152,0.33132976823967136,0.3344437717766414,0.33871260070306514,2026-09-18
2023-08-14,PP,0.3315260274910061,0.3243738990151902,0.32862169584356143,0.33158974222000437,0.3344431114394752,0.3386390235033309,2026-09-18
2023-08-15,PP,0.33171165749019677,0.32477987430261396,0.3289426877581274,0.3317758461344742,0.3345952731212166,0.33853367965262265,2026-09-18
2023-08-16,PP,0.3318972874893874,0.32517113157754546,0.32922202133282374,0.3319667115826607,0.3347274868119246,0.33859757015597913,2026-09-18
2023-08-17,PP,0.33208291748857804,0.3255030955079072,0.3294112250502541,0.3321665093854892,0.334826292626973,0.3386778132860868,2026-09-18
2023-08-18,PP,0.33226854748776874,0.32562859777619313,0.3296570969921291,0.3323692082866374,0.33495177643469315,0.3388443155510964,2026-09-18
2023-08-19,PP,0.3324541774869593,0.325692833214861,0.3297595329821471,0.33254703564031185,0.33512630951955924,0.3390980423180841,2026-09-18
2023-08-20,PP,0.33263980748614996,0.3256345172137317,0.3299147988092832,0.3327733958070248,0.3354143268685674,0.3394440121135542,2026-09-18
2023-08-21,PP,0.33288771984931353,0.32620153396417556,0.33025785729215923,0.3330036141849029,0.33552951956944344,0.3393738575147317,2026-09-18
2023-08-22,PP,0.33313563221247716,0.32669350081422166,0.3306022466369179,0.33327706558373416,0.33571485490957115,0.33934355299497465,2026-09-18
2023-08-23,PP,0.33338354457564073,0.3271347695450689,0.3308919611195495,0.33351182082413683,0.33589872832009815,0.33949335828248295,2026-09-18
2023-08-24,PP,0.33363145693880436,0.3274189829801554,0.33115317060237326,0.333745604881654,0.33611052608518877,0.3397275924507699,2026-09-18
2023-08-25,PP,0.333879369301968,0.3276644565336883,0.33138164494694144,0.3340123646376604,0.336380470645169,0.34004359266573997,2026-09-18
2023-08-26,PP,0.3341272816651316,0.3277876536223826,0.33157240924535464,0.3342873259940143,0.3366814838164979,0.340485721844529,2026-09-18
2023-08-27,PP,0.33437519402829513,0.3277779270303071,0.33170109925304014,0.33448973592026965,0.3369589117084546,0.34085025608325725,2026-09-18
2023-08-28,PP,0.33451881717663645,0.32820918146121886,0.33192945195295853,0.33463700363616566,0.3370390004261141,0.340774004552581,2026-09-18
2023-08-29,PP,0.3346624403249778,0.3284766707795865,0.33217869472809364,0.3347819001564837,0.3371300642110949,0.34076038697917577,2026-09-18
2023-08-30,PP,0.334806063473319,0.3286491320116097,0.3323543461819494,0.3349247634085539,0.3372365842128818,0.34077022929507544,2026-09-18
2023-08-31,PP,0.33494968662166025,0.3288203250187182,0.33250154118448816,0.3350078249679421,0.33741392903297185,0.34090857551526277,2026-09-18
2023-09-01,PP,0.3350933097700015,0.32890091827171847,0.3326750901199056,0.33513357719388315,0.337585679839593,0.3410781782382669,2026-09-18
