cycle,party,actual_share,model_q05,model_q50,model_q95,poll_avg,last_election,actual_seats,seats_q05,seats_q50,seats_q95,seats_poll_avg,seats_last_election
e2016,PP,33.014537647032654,27.36913843336366,29.56669678813683,32.02070728727985,29.57391304347826,28.70522848215006,137,110.0,119.0,130.0,118,114
e2016,PSOE,22.632000700098594,20.56578462188191,21.421309979647546,22.055387007088626,21.117391304347827,21.995343915646124,85,73.0,80.0,86.0,82,87
e2016,UP,21.15070183428741,23.41008880304651,24.28993614102452,25.462767568355954,24.191304347826087,24.352139057573083,71,77.0,85.0,92.0,84,85
e2016,CS,13.06062192784453,12.893180959830316,14.849998175246991,17.036965783130768,15.008695652173913,13.940281491884218,32,30.0,40.0,51.0,41,36
e2016,ERC,2.628421217394124,2.1437025979617115,2.394376243386291,2.602133540076911,2.3,2.386952238465327,9,7.0,9.0,10.0,8,9
e2016,JUNTS,2.01003128201813,1.5836102629180504,1.866242086327101,2.146593658106597,1.8071428571428572,2.2499938817149268,8,5.0,7.0,9.0,6,8
e2016,PNV,1.1932191044599896,1.0532637600909018,1.163992878523314,1.284645384109339,1.1785714285714286,1.1991283436923734,5,3.0,5.0,6.0,5,5
e2016,BILDU,0.7679175247274282,0.6662750754539354,0.805491367264208,0.964410196453013,0.8285714285714287,0.8691534629711669,2,1.0,2.0,3.0,2,2
e2016,CC,0.32532550531091714,0.20394353624173753,0.27873836000907437,0.34070920242210306,0.3,0.32492159373056057,1,0.0,1.0,1.0,1,1
e2019apr,PP,16.692458574018897,19.187388402613045,20.69215245864955,22.303995503955214,20.55,33.014537647032654,66,70.0,82.0,94.0,79,137
e2019apr,PSOE,28.67461401161031,26.14155221711646,28.808587746651632,31.82892078860966,27.958333333333336,22.632000700098594,123,106.0,123.0,140.0,117,85
e2019apr,UP,14.31659816579827,11.184513508736654,12.408137140299123,13.674204310365385,12.666666666666668,21.15070183428741,42,27.0,33.0,39.0,34,71
e2019apr,CS,15.86048684246332,14.042728832223803,16.04486967800349,18.345171856053536,16.2375,13.06062192784453,57,42.0,54.0,65.0,57,32
e2019apr,VOX,10.259356275669697,5.766220658615491,10.491436391684179,17.792059169890145,11.054166666666667,0.0,24,5.0,28.0,59.0,34,0
e2019apr,ERC,3.8944221659240656,2.8841648084319473,3.040578110646248,3.2054287222383646,3.026315789473684,2.628421217394124,15,12.0,13.0,15.0,14,9
e2019apr,JUNTS,1.9113007483463365,1.2871686289071784,1.4455893698770692,1.6080342054652998,1.4125,2.01003128201813,7,4.0,5.0,7.0,5,8
e2019apr,PNV,1.5109285693485277,1.1581779636095424,1.216059280804052,1.308788537645344,1.236842105263158,1.1932191044599896,6,6.0,6.0,7.0,6,5
e2019apr,BILDU,0.9909672283942699,0.7356776072549839,0.7941986834937202,0.8533515179980701,0.8105263157894737,0.7679175247274282,4,2.0,3.0,4.0,3,2
e2019apr,CC,0.5254076208454894,0.2588946531128253,0.294243273495446,0.32900267477687356,0.3,0.32532550531091714,2,0.0,1.0,1.0,1,1
e2019nov,PP,20.805476805643018,19.104437059672136,21.033723256533005,23.260162625095706,20.962857142857143,16.692458574018897,89,85.0,97.0,108.0,96,66
e2019nov,PSOE,27.999567816742427,24.182346772959583,27.694310350484418,31.54874973300748,28.437142857142856,28.67461401161031,120,105.0,124.0,140.0,125,123
e2019nov,UP,12.858993657739552,10.595219693962585,12.5713683655013,14.739671763881212,12.925714285714285,14.31659816579827,35,26.0,35.0,44.0,35,41
e2019nov,CS,6.803126757651054,7.661926532502688,10.18122030477296,13.083792702718473,11.542857142857144,15.86048684246332,10,13.0,24.0,44.0,33,57
e2019nov,VOX,15.075210769723164,7.887009931320911,9.754107433459167,12.303857686883672,9.294285714285715,10.259356275669697,52,15.0,25.0,39.0,19,24
e2019nov,MASPAIS,1.3617853703081693,2.6468700702092116,4.489799093142355,7.302892338099008,5.095454545454546,0.0,2,1.0,3.0,13.0,4,0
e2019nov,ERC,3.6064423172211915,3.4782871725361457,3.8327406732656977,4.108098789510185,3.884000000000001,3.8944221659240656,13,13.0,15.0,17.0,14,15
e2019nov,JUNTS,2.1857532215461077,1.4766903680660466,1.7446419785655864,1.9383713070545188,1.752,1.9113007483463365,8,5.0,7.0,8.0,7,7
e2019nov,PNV,1.5623647366163762,1.3425895468317788,1.4979338425265103,1.6702736491507042,1.528,1.5109285693485277,6,6.0,6.0,8.0,6,6
e2019nov,BILDU,1.1444405584777255,0.8513490911635613,0.9836332212830525,1.1055532049888714,1.0100000000000002,0.9909672283942699,5,2.0,4.0,5.0,4,4
e2019nov,CC,0.5123581161822702,0.38369250902600793,0.4900747364650509,0.5880473310758799,0.5055555555555555,0.5254076208454894,2,1.0,2.0,2.0,2,2
e2023,PP,33.05576896257697,30.179205626853488,32.90463150441714,35.73000182805419,33.33714285714285,20.805476805643018,137,125.0,135.0,145.0,137,87
e2023,PSOE,31.68215504101229,25.237409892354577,26.50280996023866,27.932400208359056,25.75142857142857,27.999567816742427,121,93.0,100.0,109.0,96,119
e2023,VOX,12.382490388988018,12.799711256854193,14.180508108817374,15.655120334364241,14.522857142857143,15.075210769723164,33,34.0,40.0,47.0,40,51
e2023,SUMAR,12.33386774763067,11.712201077661835,13.320445943069743,14.933404260054145,13.531428571428572,14.947489157081051,31,28.0,35.0,40.0,35,41
e2023,CS,0.0,1.060074664205338,1.554251420319259,2.2075622483997916,0.8,6.803126757651054,0,0.0,0.0,0.0,0,10
e2023,ERC,1.8876310667570153,2.3705804211923054,2.548732890531811,2.71380196554791,2.5461538461538464,3.6064423172211915,7,8.0,10.0,12.0,11,13
e2023,JUNTS,1.6016996375620356,1.7413556126395138,1.8524331869627346,1.9735814859498002,2.2,2.1857532215461077,7,7.0,8.0,9.0,8,8
