election,left,right,periph_left,periph_right,other
197706,0.43103004076601314,0.42649093967021884,0.011207556640670085,0.05570811226798814,0.0730394934429537
197903,0.4117800567675407,0.4300023094989888,0.042578934979126966,0.045466948179122633,0.06698864399059191
198210,0.5213248071096119,0.3599760247463686,0.02133226552845178,0.05550498293637285,0.03718553857242443
198606,0.48692082564900646,0.3519089988926848,0.01676861645586957,0.07953855578988363,0.058864563086156015
198910,0.48669419189777613,0.3368690897028655,0.032798303399067086,0.07652836615694535,0.060191087184821156
199306,0.48340041808662315,0.3652356500763751,0.022288387361092597,0.08143821289693166,0.039684232903455394
199603,0.48172638519195426,0.38792218052695737,0.027347498686032208,0.07117133900464884,0.02211678095378331
200003,0.4012324163150541,0.4452374307038133,0.03810555840507582,0.06784070256659573,0.03175910400154607
200403,0.47545872456998006,0.3770820459800028,0.04237276777808638,0.057612868323060965,0.03172332141388503
200803,0.4763686132698666,0.4112743479535912,0.022268624472568593,0.04896789231013198,0.030000237421120134
201111,0.3568767376051619,0.4932378015158476,0.03873856898422376,0.06502810847280652,0.03242365995717422
201512,0.46347482973219206,0.4264550997403428,0.032561057014364944,0.03774043819137861,0.03230636976344707
201606,0.43782702534386003,0.46075159574877184,0.033963387421215525,0.03528575891789036,0.024727199557823716
201904,0.4299121217740858,0.4281230169215191,0.05548793610838151,0.04557853098603123,0.03327146506951869
201911,0.42220346844790146,0.42683814333017234,0.0699224197249692,0.04952645345735888,0.022554738952902907
202307,0.4401602278864296,0.45438259351564986,0.038688457311415014,0.03407590875712646,0.024564479216230888
