election,election_date,turnout,enp_votes,enp_seats,largest_share,top2_share,volatility_total,volatility_between,volatility_within
197706,1977-06-15,0.7882597356604939,4.3438684646829975,2.9112600408764675,0.3443722071630111,0.6375269975720262,,,
197903,1979-03-01,0.6803867420813974,4.218584305338329,2.806671859964258,0.3484310275491825,0.6524629792314621,0.0855672516671158,0.035212372853463306,0.0503548788136525
198210,1982-10-28,0.7996916594591413,3.183289748801847,2.3285431873479316,0.4811103903945447,0.7446779430992001,0.42218841466391793,0.12032942236039215,0.30185899230352575
198606,1986-06-22,0.7048949376447856,3.5454461816706293,2.6814639698800455,0.4406154377988646,0.7003638929602203,0.12138565418345407,0.046373626877056956,0.07501202730639711
198910,1989-10-29,0.6974167896931687,4.033888053244022,2.852685016999674,0.3960034121735665,0.653935198174735,0.06728228143436267,0.017816471807925286,0.04946580962643739
199306,1993-06-06,0.7643366556225903,3.450536104425429,2.6732716480446927,0.38786650137627776,0.735521572917923,0.11136629001299088,0.03379347562199457,0.07757281439099631
199603,1996-03-03,0.7737669746429597,3.201968257318236,2.7242805675399193,0.38792218052695737,0.7642526976864744,0.060202752743428706,0.028627000256072843,0.03157575248735586
200003,2000-03-12,0.6870691005262346,3.008580110958303,2.474847468584589,0.4452374307038133,0.78683843737773,0.09273247754186768,0.08077011912930779,0.011962358412559895
200403,2004-03-14,0.7565533916904778,2.9433316825951117,2.497247930851714,0.4258636463160848,0.8029456922960876,0.10475341561453193,0.07845625959147143,0.0262971560230605
200803,2008-03-09,0.7384685317518551,2.7490315911141043,2.336181249523228,0.4386786516019145,0.8380594448861065,0.044958012868110006,0.03278719699234332,0.012170815875766683
201111,2011-11-20,0.6894016742720013,3.327968656519668,2.595778945583997,0.4462859615014831,0.733917642063789,0.15305014886173296,0.11820445621867245,0.034845692643060505
201512,2015-12-20,0.6967199249953057,5.009244770667535,4.113498992612492,0.2870522848215006,0.5070057239779618,0.32387793026218115,0.10348163317377443,0.22039629708840672
201606,2016-06-26,0.6648042725547414,4.405477305395301,3.800335049947261,0.33014537647032655,0.5564653834713125,0.06378902222134482,0.03569024014136163,0.02809878207998319
201904,2019-04-28,0.7175864917103317,5.821982721798486,4.820936639118457,0.2867461401161031,0.4536707258562921,0.23245818468673435,0.0404525343320144,0.19200565035471995
201911,2019-11-10,0.6623459898616211,5.824809422474361,4.594209420942094,0.27999567816742427,0.4880504462238544,0.11318154032014036,0.019046329561031097,0.09413521075910926
202307,2023-07-23,0.665940964505011,4.0690002908846665,3.438886081634945,0.3305576896257697,0.6473792400358926,0.16514209103101002,0.04709772850056011,0.1180443625304499
