election,prov,enp_votes,periph_share,province
197706,01,4.446745671109782,0.17511111828147813,Álava
197706,02,3.5157047882947685,0.0,Albacete
197706,03,3.356431816780761,0.0,Alicante
197706,04,2.963275238765351,0.0,Almería
197706,05,2.012839087162884,0.0,Ávila
197706,06,2.906523180313272,0.0,Badajoz
197706,07,2.918359625351018,0.0,Baleares
197706,08,4.8861466293619005,0.2565971041673909,Barcelona
197706,09,3.1322481035352623,0.0,Burgos
197706,10,2.583687725040535,0.0,Cáceres
197706,11,4.100005246881173,0.0,Cádiz
197706,12,3.820541187697604,0.0,Castellón
197706,13,3.3571966978035785,0.0,Ciudad Real
197706,14,3.854088918438913,0.0,Córdoba
197706,15,3.239632992396421,0.0,La Coruña
197706,16,2.6421900903821083,0.0,Cuenca
197706,17,4.544204653010153,0.3530100878620241,Gerona
197706,18,3.194725907882626,0.0,Granada
197706,19,3.1577618820100577,0.0,Guadalajara
197706,20,4.436013781609787,0.4049918972541536,Guipúzcoa
197706,21,2.8386850241124497,0.0,Huelva
197706,22,3.266321704557698,0.0,Huesca
197706,23,3.487821765269408,0.0,Jaén
197706,24,2.9421100573691206,0.0,León
197706,25,4.524231146814612,0.41572609768981167,Lérida
197706,26,3.5784841438340953,0.0,Logroño
197706,27,2.9272063577130956,0.0,Lugo
197706,28,4.204698475588807,0.0,Madrid
197706,29,3.5804766887213764,0.0,Málaga
197706,30,3.295894652621256,0.0,Murcia
197706,31,3.026505857192572,0.0,Navarra
197706,32,2.3438624031945627,0.0,Orense
197706,33,4.257171030453633,0.0,Oviedo
197706,34,2.896660236997533,0.0,Palencia
197706,35,2.1253176103100606,0.0,Las Palmas
197706,36,2.6888878331215267,0.0,Pontevedra
197706,37,2.6255460584160333,0.0,Salamanca
197706,38,2.909042602637332,0.0,Santa Cruz de Tenerife
197706,39,3.745392556173865,0.0,Santander
197706,40,2.4602785404565704,0.0,Segovia
197706,41,3.695979592730106,0.0,Sevilla
197706,42,2.527862088439267,0.0,Soria
197706,43,4.862572897577092,0.24677885149394646,Tarragona
197706,44,3.094374365937247,0.0,Teruel
197706,45,3.5321161818585733,0.0,Toledo
197706,46,3.852760227246674,0.0,Valencia
197706,47,3.351847117561696,0.0,Valladolid
197706,48,4.9079656620915575,0.3642790355793604,Vizcaya
197706,49,3.1288250578379775,0.0,Zamora
197706,50,4.8726809055530635,0.08554502369668246,Zaragoza
197706,51,3.68269065114986,0.0,Ceuta
197706,52,2.4407574225934607,0.0,Melilla
197903,01,5.27108949323605,0.37683430933517054,Álava
197903,02,3.106516516836816,0.0,Albacete
197903,03,3.1797018889605404,0.0,Alicante
197903,04,2.9145619765207624,0.02779679958803324,Almería
197903,05,2.0646798579832417,0.0,Ávila
197903,06,2.8515555233058927,0.0,Badajoz
197903,07,2.9155447199524236,0.0,Baleares
197903,08,5.151268919550198,0.19859009944670133,Barcelona
197903,09,2.8374640147411796,0.0,Burgos
197903,10,2.6727757529724965,0.0,Cáceres
197903,11,4.296547438751455,0.19758054752461343,Cádiz
197903,12,2.828245510839913,0.0,Castellón
197903,13,2.9575531050828774,0.0,Ciudad Real
197903,14,4.315938594392235,0.09972351677990474,Córdoba
197903,15,3.3545973523343946,0.0,La Coruña
197903,16,2.5817112293926527,0.0,Cuenca
197903,17,4.607825007604687,0.2912628356778849,Gerona
197903,18,3.501897404353547,0.061895854129792274,Granada
197903,19,3.3094164931419865,0.0,Guadalajara
197903,20,5.576377721811867,0.5709118413106995,Guipúzcoa
197903,21,3.520474240951415,0.09626667825633448,Huelva
197903,22,2.7619594871933333,0.0,Huesca
197903,23,3.22049309647882,0.03448244391849549,Jaén
197903,24,2.8648635705654897,0.0,León
197903,25,4.763350328437582,0.23753433124770396,Lérida
197903,26,2.932771832357154,0.0,Logroño
197903,27,3.0062138407454766,0.0,Lugo
197903,28,3.929304706337398,0.0013175562962792194,Madrid
197903,29,4.010271898776408,0.12018374880548724,Málaga
197903,30,3.1013778707172506,0.0,Murcia
197903,31,4.861097899233486,0.17341407219704089,Navarra
197903,32,2.87754512723388,0.0,Orense
197903,33,3.590033633546173,0.0,Oviedo
197903,34,2.8478641001462632,0.0,Palencia
197903,35,2.4822109645579205,0.13357232028901614,Las Palmas
197903,36,3.3321467013521304,0.0,Pontevedra
197903,37,2.679196586606411,0.0,Salamanca
197903,38,2.605886214021831,0.08402783429641084,Santa Cruz de Tenerife
197903,39,3.4435620527222848,0.0,Santander
197903,40,2.3843803547737723,0.0,Segovia
197903,41,4.616849684881968,0.14701558407732712,Sevilla
197903,42,2.423697710297201,0.0,Soria
197903,43,4.764914664982503,0.18676989289065787,Tarragona
197903,44,2.53387706502174,0.0,Teruel
197903,45,3.3489304363250243,0.0,Toledo
197903,46,3.59161994347268,0.0,Valencia
197903,47,3.8025001174505357,0.0,Valladolid
197903,48,5.486184376207831,0.4963478670239733,Vizcaya
197903,49,2.927194511670716,0.0,Zamora
197903,50,4.214490713485905,0.08991340026849698,Zaragoza
197903,51,2.4659827282581515,0.0,Ceuta
197903,52,2.930367404177173,0.0,Melilla
198210,01,4.37318419357825,0.3907589896642071,Álava
198210,02,2.6035428118854416,0.0,Albacete
198210,03,2.571139535868851,0.0,Alicante
198210,04,2.453496316695201,0.0,Almería
198210,05,3.7317736676976785,0.0,Ávila
198210,06,2.517139273110799,0.0,Badajoz
198210,07,3.0754831629260257,0.0,Baleares
198210,08,3.2772398541428545,0.24719568377853537,Barcelona
